"name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location"
"AO000260","HSS-8074431","C23202M021","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","Outside Nursing Station (New Entrance)","1","VIHATRP20230515-090","07/31/2026","07/18/2025","Mobile Cart"," "
"AO000439","C010182","C21212M014","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","Urgent Care (Hallway)","1","Lease Information Extract - HPFS Tangent","03/31/2024","06/26/2025","General Rounding","Emergency"
"AO000440","C010175","C21212M027","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","Urgent Care (Hallway)","1","Lease Information Extract - HPFS Tangent","03/31/2024","06/26/2025","General Rounding","Emergency"
"AO001530","HSS-8083167","C23801M062","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2N (Hallway)","2","VIHATRP20240205-066","03/31/2028","08/21/2025","Mobile Cart","Maternity"
"AO001657","HSS-1044421","C21B16M030","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4005 (Medication Room)(Unlocked)","4","Lease Information Extract - HPFS Tangent","12/31/2024","09/18/2025","Mobile Cart","Psychiatry"
"AO001661","HSS-1044425","C21B16M050","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","'-","1","Lease Information Extract - HPFS Tangent","12/31/2024","05/09/2025","General Rounding","COV IHealth Project Staff"
"AO001680","HSS-1044444","C21B16M068","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3N (Nurse Station)","3","Lease Information Extract - HPFS Tangent","12/31/2024","05/15/2025","Mobile Cart","Medical / Surgical Care"
"AO001697","HSS-8093572","C24102M090","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1140 (Endoscopic Suite)","1","ISLHTRP20250526-007","05/31/2028","09/19/2025","Mobile Cart","Cowichan Valley Home Support"
"AO001705","HSS-1044469","C21B16M071","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","CDH Lecture Room","G","Lease Information Extract - HPFS Tangent","12/31/2024","","General Rounding",""
"AO001719","HSS-1044483","C22303M010","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4005 (Medication Room)(Unlocked)","4","HPFS - 926082-1","","09/18/2025","Mobile Cart","Psychiatry"
"AO001732","HSS-1044991","C23B172002","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","Hallway","1","REQ1061175-RITM1116604-SCTASK1896458","","02/28/2025","Mobile Cart","Urgent Care"
"AO001733","HSS-1044722","C23B172003","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","Outside Nursing Station (New Entrance)","1","REQ1091275-RITM1148626-SCTASK1896462","12/31/2027","07/18/2025","Mobile Cart",""
"AO005041","HSS-8093566","C23A03M026","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (EMRG Hallway)","1","ISLHTRP20250526-001","04/30/2028","09/19/2025","Mobile Cart","CHCP Hospital at Home"
"AO005043","HSS-8093568","C23A03M033","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (EMRG Hallway)","1","ISLHTRP20250526-003","04/30/2028","09/19/2025","Mobile Cart","CHCP Hospital at Home"
"AO005044","HSS-1036239","C22303M151","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4S (Hallway)","4","Lease Information Extract - HPFS Tangent","03/31/2025","08/12/2025","Mobile Cart","Psychiatry"
"AO005045","HSS-1036240","C22303M171","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4S (Hallway)","4","Lease Information Extract - HPFS Tangent","03/31/2025","08/12/2025","Mobile Cart","Psychiatry"
"AO005049","HSS-8093576","C24102M052","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1069 (Ophthalmology OR)","1","ISLHTRP20250526-011","05/31/2028","08/21/2025","Mobile Cart","CHCP Hospital at Home"
"AO005050","HSS-8093567","C23A03M041","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","ISLHTRP20250526-002","04/30/2028","09/19/2025","Mobile Cart","CHCP Hospital at Home"
"AO005051","HSS-8093599","C24102M041","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway East)","3","ISLHTRP20250526-034","05/31/2028","09/12/2025","Mobile Cart",""
"AO005055","HSS-8093600","C24102M039","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3N (Hallway)","3","ISLHTRP20250526-035","05/31/2028","09/12/2025","Mobile Cart",""
"AO005056","HSS-8093597","C24102M037","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway East)","3","ISLHTRP20250526-032","05/31/2028","09/12/2025","Mobile Cart",""
"AO005057","HSS-8093593","C24102M064","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway West)","2","ISLHTRP20250526-028","05/31/2028","","Mobile Cart","Cowichan District Hospital."
"AO005058","HSS-8093589","C24102M073","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Nurse Station)","2nd Floor","ISLHTRP20250526-024","05/31/2028","","","Cowichan District Hospital."
"AO005060","HSS-8093581","C24102M053","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (ICU Nurse Station)","2","ISLHTRP20250526-016","05/31/2028","","Mobile Cart","Cowichan District Hospital."
"AO005064","HSS-8093585","C24102M040","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","ISLHTRP20250526-020","05/31/2028","09/19/2025","Mobile Cart","Cowichan District Hospital."
"AO005065","HSS-8093602","C24102M003","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway East)","3","ISLHTRP20250526-037","05/31/2028","09/12/2025","Mobile Cart",""
"AO005066","HSS-8093604","C24102M044","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway East)","3","ISLHTRP20250526-039","05/31/2028","09/12/2025","Mobile Cart",""
"AO005067","HSS-1036262","C22303M155","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway East)","2","Lease Information Extract - HPFS Tangent","03/31/2025","09/12/2025","Mobile Cart","Clinical Education"
"AO005068","HSS-1036263","C22303M156","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4037 (Psychiatry - Nurse Station)","4","Lease Information Extract - HPFS Tangent","03/31/2025","08/12/2025","Mobile Cart","Psychiatry"
"AO005069","HSS-1036264","C22303M058","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4034 (Meeting Room 1)","4","Lease Information Extract - HPFS Tangent","03/31/2025","09/18/2025","Mobile Cart","Psychiatry"
"AO005070","HSS-8093586","C24102M097","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2N (Hallway)","2","ISLHTRP20250526-021","05/31/2028","06/18/2025","Mobile Cart","Maternity"
"AO005071","HSS-8093571","C24102M038","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (EMRG Hallway)","1","ISLHTRP20250526-006","05/31/2028","09/19/2025","Mobile Cart","CHCP Hospital at Home"
"AO005072","HSS-8093570","C23A03M025","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","ISLHTRP20250526-005","04/30/2028","09/19/2025","Mobile Cart","CHCP Hospital at Home"
"AO005076","HSS-8093575","C24102M033","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1068 (PACU)","1","ISLHTRP20250526-010","05/31/2028","08/21/2025","Mobile Cart","CHCP Hospital at Home"
"AO005077","HSS-8093601","C24102M029","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway West)","3","ISLHTRP20250526-036","05/31/2028","08/25/2025","Mobile Cart",""
"AO005078","HSS-8093582","C24102M034","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway East)","3","ISLHTRP20250526-017","05/31/2028","09/12/2025","Mobile Cart","Cowichan District Hospital."
"AO005079","HSS-8093579","C24102M055","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway East)","2","ISLHTRP20250526-014","05/31/2028","","Mobile Cart","Cowichan District Hospital."
"AO005081","HSS-8093573","C24102M066","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","ISLHTRP20250526-008","05/31/2028","09/19/2025","Mobile Cart","CHCP Hospital at Home"
"AO005107","C018739","C21B30M016","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","Urgent Care (Hallway)","1","Lease Information Extract - HPFS Tangent","03/31/2025","06/26/2025","General Rounding","Emergency"
"AO005123","","C21617M061","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4005 (Medication Room)(Unlocked)","4","Lease Information Extract - HPFS Tangent","09/30/2024","09/10/2025","Mobile Cart","Psychiatry"
"AO005289","HSS-1044605","C22303M201","VIHA-LCHC-Ladysmith Community Health Centre","","","","HPFS - 926082-1","","09/02/2025","Mobile Cart",""
"AO005436","HSS-1045627","C24102M087","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G101 (Pharmacy - Hallway)","G","REQ1159120-RITM1220484-SCTASK1988342","04/30/2028","05/03/2025","Mobile Cart","Pharmacy"
"AO005437","HSS-1046365","C24402M407","VIHA-CPRC-Cairnsmore Place (CDH)-Main Building-1st Floor","Main Building","128","1","REQ1139041-RITM1199129-SCTASK2069050","06/30/2028","08/14/2025","Mobile Cart",""
"AO005438","HSS-1046114","C24102M099","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1083 (Outside CT Tech Station)","1","REQ1252610-RITM1320227-SCTASK2119271","05/31/2028","08/21/2025","Mobile Cart","Medical Imaging"
"AO005548","HSS-1998226","C24304M088","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3332 (Chemotherapy Medical Daycare)","3","DMND0004854- 128 x Carts for RJH CPOE Pr","07/31/2028","08/22/2025","Mobile Cart","Cancer Care"
"AO005562","HSS-1998240","C24304M115","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (EMRG Hallway)","1","DMND0004854- 128 x Carts for RJH CPOE Pr","07/31/2028","09/19/2025","Mobile Cart","Emergency"
"AO005620","HSS-1998298","C24304M030","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1118B (Education Room)","1","DMND0004854- 128 x Carts for RJH CPOE Pr","07/31/2028","08/21/2025","General Rounding","Emergency"
"AO005627","HSS-1998305","C24304M094","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway East)","1","DMND0004854- 128 x Carts for RJH CPOE Pr","07/31/2028","08/06/2025","Mobile Cart",""
"AO005645","HSS-1998323","C24304M103","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (EMRG Hallway)","1","DMND0004854- 128 x Carts for RJH CPOE Pr","07/31/2028","09/19/2025","Mobile Cart","Emergency"
"AO005662","HSS-1998340","C24304M116","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (EMRG Hallway)","1","DMND0004854- 128 x Carts for RJH CPOE Pr","07/31/2028","09/19/2025","Mobile Cart","Emergency"
"AO005665","HSS-1998343","C24304M065","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3332 (Chemotherapy Medical Daycare)","3","DMND0004854- 128 x Carts for RJH CPOE Pr","07/31/2028","07/04/2025","Mobile Cart","Cancer Care"
"AO005677","HSS-1047449","C24712M214","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3336 (Electrodiagnostic)","3","REQ1366496-RITM1441352-SCTASK2340929","09/30/2028","08/25/2025","Mobile Cart","Heart Function"
"AO400004","HSS-8078067","C23719M005","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","Urgent Care (Hallway)","1","VIHATRP20230904-002","10/31/2027","06/26/2025","Mobile Cart","Emergency"
"AO400005","HSS-8083193","C23801M004","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway East)","3","VIHATRP20240205-092","03/31/2028","09/12/2025","Mobile Cart","CDH 3rd Floor East"
"AO400006","HSS-8083174","C23801M003","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2C (Hallway)","2","VIHATRP20240205-073","03/31/2028","07/11/2025","Mobile Cart","CDH 2nd Floor Central"
"AO400007","HSS-8083191","C23801M009","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway West)","3","VIHATRP20240205-090","03/31/2028","09/12/2025","Mobile Cart","CDH 3rd Floor West"
"AO400008","HSS-8083188","C23801M007","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3N (Hallway)","3","VIHATRP20240205-087","03/31/2028","09/12/2025","Mobile Cart","Medical / Surgical Care"
"AO400009","HSS-8078955","C23719M142","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","3N (Nurse Station)","1","VIHATRP20231003-091","11/30/2027","08/22/2025","Mobile Cart","Operating Rooms"
"AO400010","HSS-8083186","C23801M002","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway East)","3","VIHATRP20240205-085","03/31/2028","09/12/2025","Mobile Cart","CDH 3rd Floor East"
"AO400011","HSS-8083158","C23801M080","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway East)","2","VIHATRP20240205-057","03/31/2028","09/12/2025","Mobile Cart","CDH 2nd Floor West"
"AO400012","HSS-8083190","C23801M029","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway East)","3","VIHATRP20240205-089","03/31/2028","09/12/2025","Mobile Cart","CDH 3rd Floor East"
"AO400014","HSS-8083175","C23801M005","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway East)","2","VIHATRP20240205-074","03/31/2028","07/11/2025","Mobile Cart","CDH 2nd Floor East"
"AO400015","HSS-8083189","C23801M031","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway East)","3","VIHATRP20240205-088","03/31/2028","09/12/2025","Mobile Cart","CDH 3rd Floor East"
"AO400015","C002791","C163172307-DUP","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway)","3","","","","Excluded","Medical / Surgical Care"
"AO400016","HSS-8083140","C23801M006","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3N (Hallway West)","3","VIHATRP20240205-039","03/31/2028","08/22/2025","Mobile Cart","CDH 3rd Floor West"
"AO400017","HSS-8083184","C23801M028","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway West)","3","VIHATRP20240205-083","03/31/2028","08/25/2025","Mobile Cart","CDH 3rd Floor West"
"AO400019","HSS-8083173","C23801M008","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2035 (ICU Patient Lounge)","2","VIHATRP20240205-072","03/31/2028","07/04/2025","Mobile Cart","Intensive Care Unit (ICU)"
"AO400020","HSS-8078951","C23719M041","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","VIHATRP20231003-087","11/30/2027","09/19/2025","Mobile Cart","Ambulatory Care Unit (ACU)"
"AO400021","HSS-8083156","C23801M037","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2C (Hallway)","2","VIHATRP20240205-055","03/31/2028","07/11/2025","Mobile Cart","CDH 2nd Floor Central"
"AO400022","HSS-8078953","C23719M109","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1078 (Clean Utility Room)","1","VIHATRP20231003-089","11/30/2027","08/21/2025","Mobile Cart","Operating Rooms"
"AO400023","HSS-8078947","C23719M040","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway)","2","VIHATRP20231003-083","11/30/2027","06/06/2025","General Rounding","2 South"
"AO400024","HSS-8083166","C23801M202","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2035 (ICU Patient Lounge)","2","VIHATRP20240205-065","03/31/2028","08/12/2025","Mobile Cart","Intensive Care Unit (ICU)"
"AO400025","HSS-8083169","C23801M195","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway West)","2","VIHATRP20240205-068","03/31/2028","07/11/2025","Mobile Cart","CDH 2nd Floor West"
"AO400026","HSS-8083162","C23801M041","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway East)","2","VIHATRP20240205-061","03/31/2028","07/04/2025","Mobile Cart","CDH 2nd Floor East"
"AO400027","HSS-8083164","C23801M096","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway East)","2","VIHATRP20240205-063","03/31/2028","07/04/2025","Mobile Cart","CDH 2nd Floor East"
"AO400029","HSS-8083138","C23801M052","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3N (Nurse Station)","3","VIHATRP20240205-037","03/31/2028","08/22/2025","Mobile Cart","Medical / Surgical Care"
"AO400030","HSS-8083172","C23801M039","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway East)","2","VIHATRP20240205-071","03/31/2028","07/04/2025","Mobile Cart","CDH 2nd Floor East"
"AO400031","HSS-8083170","C23801M203","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway West)","2","VIHATRP20240205-069","03/31/2028","07/11/2025","Mobile Cart","CDH 2nd Floor West"
"AO400032","HSS-8083137","C23801M010","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway West)","3","VIHATRP20240205-036","03/31/2028","09/12/2025","Mobile Cart","CDH 3rd Floor West"
"AO400033","HSS-8083187","C23801M024","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway West)","3","VIHATRP20240205-086","03/31/2028","08/25/2025","Mobile Cart","CDH 3rd Floor West"
"AO400034","HSS-8083185","C23801M012","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3N (Hallway)","3","VIHATRP20240205-084","03/31/2028","09/12/2025","Mobile Cart","CDH 3rd Floor East"
"AO400035","HSS-8078952","C23719M113","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1068 (PACU)","1","VIHATRP20231003-088","11/30/2027","08/21/2025","Mobile Cart","Post Anesthetic Care Unit (PACU)"
"AO400037","HSS-8083161","C23801M011","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway West)","2","VIHATRP20240205-060","03/31/2028","08/12/2025","Mobile Cart","CDH 2nd Floor West"
"AO400039","HSS-8083168","C23801M077","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway East)","2","VIHATRP20240205-067","03/31/2028","07/04/2025","Mobile Cart","CDH 2nd Floor East"
"AO400040","HSS-8083171","C23801M038","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway East)","2","VIHATRP20240205-070","03/31/2028","07/04/2025","Mobile Cart","CDH 2nd Floor East"
"AO400041","HSS-8083136","C23801M197","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway East)","3","VIHATRP20240205-035","03/31/2028","07/11/2025","Mobile Cart","CDH 3rd Floor East"
"AO400043","HSS-8083139","C23801M192","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","VIHATRP20240205-038","03/31/2028","08/08/2025","Mobile Cart","Ambulatory Care Unit (ACU)"
"AO400045","HSS-8083163","C23801M079","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway West)","2","VIHATRP20240205-062","03/31/2028","07/11/2025","Mobile Cart","CDH 2nd Floor West"
"AO400046","HSS-8078956","C23719M056","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","VIHATRP20231003-092","11/30/2027","08/08/2025","General Rounding","Ambulatory Care Unit (ACU)"
"AO400047","HSS-8083159","C23801M083","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Hallway West)","2","VIHATRP20240205-058","03/31/2028","07/04/2025","Mobile Cart","CDH 2nd Floor West"
"AO400048","HSS-8083192","C23801M034","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3N (Hallway)","3","VIHATRP20240205-091","03/31/2028","09/12/2025","Mobile Cart","Medical / Surgical Care"
"AO400049","HSS-8078948","C23719M019","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1130 (Outside Triage)","1","VIHATRP20231003-084","11/30/2027","09/19/2025","Mobile Cart","Emergency"
"AO400052","HSS-8078950","C23719M107","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","VIHATRP20231003-086","11/30/2027","09/19/2025","Mobile Cart","Ambulatory Care Unit (ACU)"
"AO400053","HSS-8083179","C23801M001","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","G101","1","VIHATRP20240205-078","03/31/2028","05/06/2025","Mobile Cart","Pharmacy"
"AO400054","HSS-8093595","C24102M042","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2N (Hallway)","2","ISLHTRP20250526-030","05/31/2028","08/21/2025","Mobile Cart","Maternity"
"AO400055","HSS-8089543","C24529M155","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2N (Hallway)","2","VIHATRP20240902-067","09/30/2028","08/21/2025","Mobile Cart","Maternity"
"AO400056","HSS-8089530","C24529M147","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","VIHATRP20240902-054","10/31/2028","09/19/2025","Mobile Cart","Ambulatory Care Unit (ACU)"
"AO400057","HSS-8089534","C24529M160","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1068 (PACU)","1","VIHATRP20240902-058","10/31/2028","08/21/2025","Mobile Cart","Post Anesthetic Care Unit (PACU)"
"AO400058","HSS-8089536","C24529M145","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (EMRG Hallway)","1","VIHATRP20240902-060","10/31/2028","09/19/2025","Mobile Cart","Emergency"
"AO400059","HSS-8089540","C24529M148","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","VIHATRP20240902-064","09/30/2028","09/19/2025","Mobile Cart","Ambulatory Care Unit (ACU)"
"AO400060","HSS-8089535","C24529M134","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1045 (Hallway)","1","VIHATRP20240902-059","10/31/2028","08/21/2025","Mobile Cart","Laboratory"
"AO400061","HSS-8073857","C23202M157","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ER/ACU (Main Nurse Station)","1","VIHATRP20230424-031","06/30/2026","07/18/2025","Mobile Cart","Surgical Daycare"
"AO400062","HSS-8073873","C23202M158","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ER/ACU (Main Nurse Station)","1","VIHATRP20230424-047","07/31/2026","07/18/2025","Mobile Cart","Surgical Daycare"
"AO400063","HSS-8073841","C23202M156","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Main Nurse Station","1","VIHATRP20230424-015","06/30/2026","07/18/2025","Mobile Cart","ACU"
"AO400064","HSS-8073839","C23202M145","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Main Nurse Station","1","VIHATRP20230424-013","06/30/2026","07/18/2025","Mobile Cart","ACU"
"AO400065","HSS-8073840","C23202M141","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","ACU - Main Nurse Station","1","VIHATRP20230424-014","06/30/2026","07/18/2025","Mobile Cart","ACU"
"AO400068","HSS-8078083","C23719M003","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","Hallway","1","VIHATRP20230904-018","10/31/2027","02/28/2025","Mobile Cart","Emergency"
"AO400069","HSS-8091753","C24805M052","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","Hallway (Admitting)","1","VIHATRP20250106-001","02/28/2029","","Mobile Cart","North Cowichan Comm Hlth Serv"
