"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement"
"","AO000050-CRT","AO000050-CRT","1296598-0014","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor",,,,,
"","AO000051-CRT","AO000051-CRT","1296598-0003","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor",,,,,
"","AO000052-CRT","AO000052-CRT","1297847-0030","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor",,,,,
"","AO000053-CRT","AO000053-CRT","1269742-0051","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"","AO000054-CRT","AO000054-CRT","1297850-0012","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor",,,,,
"AO000056","AO000056-CRT","AO000056-CRT","1297846-0052","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-Basement 1",,,,,
"","AO000057-CRT","AO000057-CRT","1269827-0033","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000058","AO000058-CRT","AO000058-CRT","1297848-0032","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"","AO000059-CRT","AO000059-CRT","1297850-0005","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor",,,,,
"","AO000061-CRT","AO000061-CRT","1297846-0027","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"","AO000062-CRT","AO000062-CRT","1268836-0010","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor",,,,,
"","AO000063-CRT","AO000063-CRT","1297847-0050","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"","AO000064-CRT","AO000064-CRT","1297849-0012","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"","AO000066-CRT","AO000066-CRT","1297847-0045","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"","AO000067-CRT","AO000067-CRT","1297846-0013","VIHA-VGH-Victoria General Hospital",,,,,
"","AO000068-CRT","AO000068-CRT","1269828-0024","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"","AO000069-CRT","AO000069-CRT","1296598-0011","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor",,,,,
"","AO000071-CRT","AO000071-CRT","1297846-0047","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000072","AO000072-CRT","AO000072-CRT","1268836-0024","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor",,,,,
"","AO000074-CRT","AO000074-CRT","1297850-0043","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"","AO000078-CRT","AO000078-CRT","1297846-0057","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"","AO000079-CRT","AO000079-CRT","1297846-0009","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"","AO000080-CRT","AO000080-CRT","1297849-0004","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"","AO000081-CRT","AO000081-CRT","1297847-0020","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor",,,,,
"","AO000083-CRT","AO000083-CRT","1297848-0006","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"","AO000086-CRT","AO000086-CRT","1297847-0015","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"","AO000090-CRT","AO000090-CRT","1297847-0048","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"","AO000091-CRT","AO000091-CRT","1269742-0034","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"","AO000094-CRT","AO000094-CRT","1297848-0002","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor",,,,,
"","AO000101-CRT","AO000101-CRT","1360921-0062","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor",,,,,
"AO000102","AO000102-CRT","AO000102-CRT","1399175-0034","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor",,,,,
"AO000105","AO000105-CRT","AO000105-CRT","1399175-0029","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-5th Floor",,,,,
"AO000107","AO000107-CRT","AO000107-CRT","TEMPVIHA013","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000108","AO000108-CRT","AO000108-CRT","1269741-0032","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000109","AO000109-CRT","AO000109-CRT","1269742-0050","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000112","AO000112-CRT","AO000112-CRT","1269741-0051","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"","AO000115-CRT","AO000115-CRT","1441006-0035","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor",,,,,
"AO000116","AO000116-CRT","AO000116-CRT","1808301-0001","NTT-Microserve-Warehouse-Victoria",,,,,
"AO000118","AO000118-CRT","AO000118-CRT","1269741-0053","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000120","AO000120-CRT","AO000120-CRT","1269828-0023","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor",,,,,
"AO000121","AO000121-CRT","AO000121-CRT","1874548-0067","VIHA-SISC-South Island Surgical Centre-Eagle Creek Village Building 7-5th Floor",,,,,
"AO000124","AO000124-CRT","AO000124-CRT","1269741-0037","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000126","AO000126-CRT","AO000126-CRT","1269741-0015","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000127LEG","AO000127-CRT","AO000127-CRT","1269741-0042","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000128","AO000128-CRT","AO000128-CRT","1269828-0032","VIHA-RJH-Royal Jubilee Hospital-Royal Block-3rd Floor",,,,,
"AO000129","AO000129-CRT","AO000129-CRT","1269828-0035","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-5th Floor",,,,,
"AO000130","AO000130-CRT","AO000130-CRT","1269741-0054","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor",,,,,
"AO000132","AO000132-CRT","AO000132-CRT","1874313-0092","VIHA-SISC-South Island Surgical Centre-Eagle Creek Village Building 7-5th Floor",,,,,
"AO000133","AO000133-CRT","AO000133-CRT","1269742-0003","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000134","AO000134-CRT","AO000134-CRT","1269742-0043","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor",,,,,
"AO000135","AO000135-CRT","AO000135-CRT","1826513-0009","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000137","AO000137-CRT","AO000137-CRT","1269742-0008","VIHA-RJH-Royal Jubilee Hospital-Richmond Pavilion-2nd Floor",,,,,
"AO000138","AO000138-CRT","AO000138-CRT","1269827-0027","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"AO000139","AO000139-CRT","AO000139-CRT","1269741-0055","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000140","AO000140-CRT","AO000140-CRT","1848798-0039","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000141","AO000141-CRT","AO000141-CRT","1800999-0003","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"","AO000145-CRT","AO000145-CRT","1269742-0005","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000147","AO000147-CRT","AO000147-CRT","1269742-0021","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000148","AO000148-CRT","AO000148-CRT","1297846-0010","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor",,,,,
"AO000150","AO000150-CRT","AO000150-CRT","1854604-0002","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000153","AO000153-CRT","AO000153-CRT","1296600-0032","VIHA-DPRC-Dufferin Place (NRGH)-Main Building-1st Floor",,,,,
"AO000158","AO000158-CRT","AO000158-CRT","1800999-0033","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000159","AO000159-CRT","AO000159-CRT","1800998-0016","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000160","AO000160-CRT","AO000160-CRT","1801000-0013","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000161","AO000161-CRT","AO000161-CRT","1269828-0034","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"AO000162","AO000162-CRT","AO000162-CRT","1801000-0007","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000163","AO000163-CRT","AO000163-CRT","1809900-0001","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor",,,,,
"AO000164","AO000164-CRT","AO000164-CRT","1297846-0028","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000165","AO000165-CRT","AO000165-CRT","1297846-0029","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000166","AO000166-CRT","AO000166-CRT","1864298-0001","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor",,,,,
"AO000167","AO000167-CRT","AO000167-CRT","1800999-0039","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000168","AO000168-CRT","AO000168-CRT","1800998-0021","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000169","AO000169-CRT","AO000169-CRT","1800999-0012","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000170","AO000170-CRT","AO000170-CRT","1801000-0049","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000171","AO000171-CRT","AO000171-CRT","1801000-0031","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000172","AO000172-CRT","AO000172-CRT","1800998-0011","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000174","AO000174-CRT","AO000174-CRT","1297846-0031","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000175","AO000175-CRT","AO000175-CRT","1809900-0002","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor",,,,,
"AO000176","AO000176-CRT","AO000176-CRT","1801000-0061","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000177","AO000177-CRT","AO000177-CRT","1800998-0010","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000178","AO000178-CRT","AO000178-CRT","1801000-0053","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000179","AO000179-CRT","AO000179-CRT","1801000-0011","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000180","AO000180-CRT","AO000180-CRT","1801000-0019","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000181","AO000181-CRT","AO000181-CRT","1801000-0016","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000182","AO000182-CRT","AO000182-CRT","1801000-0057","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000183","AO000183-CRT","AO000183-CRT","1801000-0025","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000184","AO000184-CRT","AO000184-CRT","1269742-0015","VIHA-RJH-Royal Jubilee Hospital-Coronation Annex-2nd Floor",,,,,
"AO000185","AO000185-CRT","AO000185-CRT","1297846-0032","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000186","AO000186-CRT","AO000186-CRT","1801000-0065","VIHA-RJH-Royal Jubilee Hospital-Eric Martin Pavilion-5th Floor",,,,,
"AO000187","AO000187-CRT","AO000187-CRT","1841539-0024","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000188","AO000188-CRT","AO000188-CRT","1801000-0058","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000189LEG","AO000189-CRT","AO000189-CRT","1800999-0023","VIHA-RJH-Royal Jubilee Hospital",,,,,
"AO000190","AO000190-CRT","AO000190-CRT","1297846-0033","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000191","AO000191-CRT","AO000191-CRT","1800999-0011","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor",,,,,
"AO000192","AO000192-CRT","AO000192-CRT","1800999-0032","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000193","AO000193-CRT","AO000193-CRT","1800999-0009","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000195","AO000195-CRT","AO000195-CRT","1841714-0104","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000197","AO000197-CRT","AO000197-CRT","1800999-0006","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000199LEG","AO000199-CRT","AO000199-CRT","1800998-0022","VIHA-RJH-Royal Jubilee Hospital",,,,,
"AO000200","AO000200-CRT","AO000200-CRT","1800998-0017","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000201","AO000201-CRT","AO000201-CRT","1826512-0013","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000202","AO000202-CRT","AO000202-CRT","1800999-0027","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000203","AO000203-CRT","AO000203-CRT","TEMPVIHA014","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000204","AO000204-CRT","AO000204-CRT","1800999-0008","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000205","AO000205-CRT","AO000205-CRT","1800999-0034","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000206","AO000206-CRT","AO000206-CRT","1801000-0037","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000207","AO000207-CRT","AO000207-CRT","1826513-0106","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000208","AO000208-CRT","AO000208-CRT","1297846-0035","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000209","AO000209-CRT","AO000209-CRT","1882307-0040","VIHA-SISC-South Island Surgical Centre-Eagle Creek Village Building 7-5th Floor",,,,,
"AO000210","AO000210-CRT","AO000210-CRT","1800999-0026","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000211","AO000211-CRT","AO000211-CRT","1801000-0023","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000212","AO000212-CRT","AO000212-CRT","1801000-0067","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000213","AO000213-CRT","AO000213-CRT","1841539-0020","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000214","AO000214-CRT","AO000214-CRT","1297846-0036","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000215","AO000215-CRT","AO000215-CRT","1808301-0002","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000216","AO000216-CRT","AO000216-CRT","1801000-0010","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000217","AO000217-CRT","AO000217-CRT","1822913-0095","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000219","AO000219-CRT","AO000219-CRT","1801000-0063","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000221LEG","AO000221-CRT","AO000221-CRT","1297846-0026","VIHA-RJH-Royal Jubilee Hospital",,,,,
"AO000222","AO000222-CRT","AO000222-CRT","1297846-0002","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000223","AO000223-CRT","AO000223-CRT","1826808-0046","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor",,,,,
"AO000224","AO000224-CRT","AO000224-CRT","1801000-0048","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000225","AO000225-CRT","AO000225-CRT","1297846-0037","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000226","AO000226-CRT","AO000226-CRT","1297850-0051","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor",,,,,
"AO000227","AO000227-CRT","AO000227-CRT","1297848-0035","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor",,,,,
"AO000228","AO000228-CRT","AO000228-CRT","1297848-0042","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-2nd Floor",,,,,
"AO000229","AO000229-CRT","AO000229-CRT","1801000-0041","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000230","AO000230-CRT","AO000230-CRT","1800999-0020","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000231","AO000231-CRT","AO000231-CRT","1800999-0016","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000232","AO000232-CRT","AO000232-CRT","1297846-0038","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000233","AO000233-CRT","AO000233-CRT","1297846-0039","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000234","AO000234-CRT","AO000234-CRT","1801000-0066","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000236","AO000236-CRT","AO000236-CRT","1800998-0019","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000238","AO000238-CRT","AO000238-CRT","1800999-0035","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000239","AO000239-CRT","AO000239-CRT","1800998-0012","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000240","AO000240-CRT","AO000240-CRT","1804397-0003","VIHA-RJH-Royal Jubilee Hospital-Royal Block-3rd Floor",,,,,
"AO000241","AO000241-CRT","AO000241-CRT","1800998-0020","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000243","AO000243-CRT","AO000243-CRT","1269742-0047","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000244","AO000244-CRT","AO000244-CRT","1297846-0041","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000246","AO000246-CRT","AO000246-CRT","1800998-0002","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000247","AO000247-CRT","AO000247-CRT","1800999-0014","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor",,,,,
"AO000248","AO000248-CRT","AO000248-CRT","1801000-0021","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"AO000249","AO000249-CRT","AO000249-CRT","1800999-0013","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000250","AO000250-CRT","AO000250-CRT","1854599-0006","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor",,,,,
"AO000251","AO000251-CRT","AO000251-CRT","1826808-0055","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor",,,,,
"AO000252","AO000252-CRT","AO000252-CRT","1297846-0042","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000253","AO000253-CRT","AO000253-CRT","1297846-0043","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000254","AO000254-CRT","AO000254-CRT","1297846-0044","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"","AO000263-CRT","AO000263-CRT","1297850-0055","VIHA-SPH-Saanich Peninsula Hospital-Main Building-1st Floor",,,,,
"","AO000266-CRT","AO000266-CRT","1297847-0040","VIHA-SPH-Saanich Peninsula Hospital-Main Building",,,,,
"","AO000267-CRT","AO000267-CRT","1297850-0033","VIHA-SPH-Saanich Peninsula Hospital-Main Building-1st Floor",,,,,
"AO000268","AO000268-CRT","AO000268-CRT","1297850-0050","VIHA-SPH-Saanich Peninsula Hospital-Main Building",,,,,
"","AO000270-CRT","AO000270-CRT","1297850-0016","VIHA-SPH-Saanich Peninsula Hospital-Main Building-1st Floor",,,,,
"","AO000271-CRT","AO000271-CRT","1297850-0025","VIHA-SPH-Saanich Peninsula Hospital-Main Building",,,,,
"AO000275","AO000275-CRT","AO000275-CRT","1297850-0018","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor",,,,,
